RSS0,RSS1,RSS2,RSS3,RSS4,X,Y,Z
0.007079217030087212,0.006382997219531844,0.017125479103708284,0.0018882048296648849,0.0032262283822051675,-3.125,1.530864197530864,0.896
0.009568284578462989,0.009591204438094693,0.0022066150372240566,0.021508722822938187,0.003043457840154797,0.875,-2.9135802469135803,1.596
0.03353155876783264,0.020683290362271397,0.015636466693061856,0.0062958794179153385,0.0054380954127635946,-1.125,-0.2469135802469138,2.2960000000000003
0.004067344309812272,0.00031694493245588653,0.0014343653106214833,0.00172832091924126,0.056090834187943826,2.875,2.4197530864197523,2.9960000000000004
0.008223178068324486,0.015525218745843688,0.005603260959756688,0.005096995762405826,0.002603977382468858,-2.125,-2.0246913580246915,0.336
0.0139977302200649,0.003942238575116458,0.005358056150125898,0.010238204904241113,0.01743256211978706,1.875,0.6419753086419755,1.036
0.008069612040377094,0.0020465277926523715,0.014483968133990945,0.0018574531954958723,0.01308392240122551,-0.125,3.3086419753086416,1.7360000000000002
0.0018818094812054062,0.0010020573543041721,0.00035900635181027366,0.015685010330229156,0.001266417149677328,3.875,-3.506172839506173,2.4360000000000004
0.002960928749282036,0.016955222130462317,0.0054038874693266535,0.00038830982630676854,0.0003087527231261562,-3.9375,-0.8395061728395063,3.136
0.012390705039994777,0.004703959279602525,0.011490181900528432,0.00461689556339873,0.011911986276175858,0.0625,1.8271604938271606,0.47600000000000003
0.00815672992182289,0.022149560928508748,0.0042742598656072125,0.00561440288124438,0.00199489188569725,-1.9375,-2.617283950617284,1.1760000000000002
0.01728957929556844,0.003726255906424976,0.003939718953458479,0.017010540617201943,0.01859575358580377,2.0625,0.049382716049382935,1.8760000000000001
0.004284041637850419,0.0022435841704154117,0.03745700888323363,0.00037350859952080083,0.002064820649357648,-2.9375,2.716049382716048,2.5760000000000005
0.02147235596258856,0.006577030378248418,0.0013709738601033702,0.06590034548955483,0.00305209207272511,1.0625,-1.7283950617283952,3.2760000000000002
0.014815732933852823,0.008045746610814263,0.014375488966842905,0.004955541560656564,0.008012197879796044,-0.9375,0.9382716049382713,0.616
0.003742960419859818,0.0008651530279722988,0.002745636221822416,0.002187992213251441,0.01564606109577354,3.0625,3.6049382716049374,1.316
0.0033397800023041106,0.02018052506186943,0.002255269508659929,0.0019440055888338996,0.0006192524674925106,-3.4375,-3.2098765432098766,2.016
0.052373601981415475,0.009615699286350346,0.0057589300669790315,0.020185944762229287,0.010018408450598811,0.5625,-0.5432098765432101,2.7160000000000006
0.010595549359853717,0.0015987746834331658,0.10558099072242452,0.0002373862706504801,0.003966118659322872,-1.4375,2.1234567901234565,3.4160000000000004
0.006505813250622833,0.004217608056348828,0.0022052333647267527,0.013474800753831031,0.004655383681476431,2.5625,-2.3209876543209877,0.084
0.010823601719843572,0.011204207952894557,0.014562948183458423,0.0033653675500551544,0.003948441443649589,-2.4375,0.34567901234567877,0.784
0.007696340380681168,0.0016845794564636254,0.006419074954127457,0.0029774161514691325,0.022735665081402536,1.5625,3.012345679012345,1.4840000000000002
0.026563943796180184,0.02414300052599091,0.00604228958877619,0.013720062313780092,0.004365212931609845,-0.4375,-1.432098765432099,2.184
0.004380148265369975,0.00043680064971973325,0.0009428669565229347,0.004980129322385082,0.02811032018832095,3.5625,1.234567901234568,2.8840000000000003
0.0030464581392045872,0.0022259773174651814,0.008946255386454244,0.0009425791962310644,0.002367142583102827,-3.6875,3.901234567901234,0.224
0.005701125170449374,0.008771234247318712,0.0018661161925451197,0.01088534627886382,0.0019809487479532186,0.3125,-3.9670781893004117,0.924
0.01564680714842068,0.027093085145110562,0.008461436608537192,0.0061934791332272,0.003203511106579531,-1.6875,-1.3004115226337452,1.624
0.012296084359393165,0.0016600495714178226,0.003716834894742787,0.007213068214822071,0.04137622801590084,2.3125,1.3662551440329214,2.3240000000000007
0.003132694512623921,0.04463561110943193,0.001488502608958411,0.001631925062680414,0.00028844693890127545,-2.6875,-3.078189300411523,3.0240000000000005
0.013335287482910602,0.006180497433973431,0.005315972561806912,0.011938413602984132,0.009658459482891346,1.3125,-0.4115226337448563,0.36400000000000005
0.012073196480477985,0.004454305037834871,0.017600831719727632,0.00321006213109451,0.010406773620143778,-0.6875,2.2551440329218098,1.064
0.005488848401835844,0.0024354957039153984,0.0011601383013593576,0.024018767005076196,0.004321817477570661,3.3125,-2.189300411522634,1.764
0.008162725387353438,0.01175053906689692,0.022509632727436515,0.001148953862562671,0.0016850311809770758,-3.1875,0.47736625514403297,2.4640000000000004
0.005919662010543962,0.0004381749898488971,0.00735369613198974,0.00045263010001977445,0.03206346779595051,0.8125,3.144032921810699,3.164
0.005841237744123309,0.012459877952509336,0.002702281268077407,0.006561186028017257,0.0018764999974307066,-1.1875,-3.6707818930041154,0.504
0.009330328761737209,0.003453537345661568,0.0024290628060253247,0.018764734022702793,0.00885069832090732,2.8125,-1.0041152263374489,1.2040000000000002
